Average national growth in USD: 427567.72
Average national growth in %: 907.32
Average growth in ME in USD: 1152907.48
Average growth in IA in USD: 285888.17
Average growth in NV in USD: 478351.33
Average growth in SC in USD: 73892.87
Average growth in KS in USD: 30153.47
Average growth in PA in USD: 638388.22
Average growth in AR in USD: 729451.91
Average growth in CT in USD: 478481.03
Average growth in SD in USD: 109201.39
Average growth in AZ in USD: 192575.48
Average growth in OH in USD: 159979.72
Average growth in MN in USD: 1261438.85
Average growth in DE in USD: 677708.85
Average growth in HI in USD: 215908.89
Average growth in WI in USD: 428556.17
Average growth in NH in USD: 841525.20
Average growth in TN in USD: 270218.97
Average growth in PR in USD: 2656889.50
Average growth in MO in USD: 440987.30
Average growth in AK in USD: 173328.50
Average growth in GA in USD: 550853.76
Average growth in WY in USD: 265137.34
Average growth in WA in USD: 125022.96
Average growth in NY in USD: 811264.49
Average growth in IL in USD: -124687.99
Average growth in VA in USD: 178494.69
Average growth in VI in USD: 168368.00
Average growth in ID in USD: 212964.29
Average growth in AL in USD: 237740.50
Average growth in OR in USD: 165047.64
Average growth in OK in USD: 745572.94
Average growth in NJ in USD: 376713.75
Average growth in MI in USD: 468627.33
Average growth in MA in USD: 368279.37
Average growth in TX in USD: -220759.91
Average growth in CO in USD: -52025.61
Average growth in NC in USD: 1064259.79
Average growth in LA in USD: 24008.53
Average growth in IN in USD: 605672.84
Average growth in FL in USD: 636781.97
Average growth in CA in USD: 676623.29
Average growth in KY in USD: 151394.35
Average growth in MS in USD: 103032.23
Average growth in VT in USD: 59622.63
Average growth in ND in USD: 413750.69
Average growth in NE in USD: 188773.28
Average growth in UT in USD: 514006.65
Average growth in MD in USD: -130050.04
Average growth in NM in USD: 172700.32
Average growth in RI in USD: 1039389.24
Average growth in DC in USD: 20850.30
Average growth in WV in USD: 361869.46
Average growth in MT in USD: 1645277.14
Average growth in ME in %: 31.08
Average growth in IA in %: 14.90
Average growth in NV in %: 60.18
Average growth in SC in %: 11.35
Average growth in KS in %: 22.30
Average growth in PA in %: 236.47
Average growth in AR in %: -51.18
Average growth in CT in %: 16.71
Average growth in SD in %: 85.63
Average growth in AZ in %: 33.76
Average growth in OH in %: 38.87
Average growth in MN in %: 17.36
Average growth in DE in %: 28.54
Average growth in HI in %: 12.53
Average growth in WI in %: 321.20
Average growth in NH in %: 10.78
Average growth in TN in %: 15.40
Average growth in PR in %: 1.73
Average growth in MO in %: 21.45
Average growth in AK in %: 81.51
Average growth in GA in %: 14.27
